,year_month,Atlanta_MVT_911
0,2017-01,267
1,2017-02,229
2,2017-03,219
3,2017-04,221
4,2017-05,244
5,2017-06,265
6,2017-07,314
7,2017-08,264
8,2017-09,251
9,2017-10,310
10,2017-11,300
11,2017-12,302
12,2018-01,256
13,2018-02,244
14,2018-03,224
15,2018-04,258
16,2018-05,288
17,2018-06,268
18,2018-07,260
19,2018-08,266
20,2018-09,274
21,2018-10,285
22,2018-11,284
23,2018-12,309
24,2019-01,274
25,2019-02,215
26,2019-03,199
27,2019-04,243
28,2019-05,291
29,2019-06,234
30,2019-07,287
31,2019-08,253
32,2019-09,244
33,2019-10,223
34,2019-11,229
35,2019-12,275
36,2020-01,268
37,2020-02,226
38,2020-03,204
39,2020-04,161
40,2020-05,166
41,2020-06,222
42,2020-07,295
43,2020-08,275
44,2020-09,286
45,2020-10,381
46,2020-11,364
47,2020-12,399
48,2021-01,365
49,2021-02,282
50,2021-03,220
51,2021-04,207
52,2021-05,278
53,2021-06,199
54,2021-07,259
55,2021-08,257
56,2021-09,273
57,2021-10,235
58,2021-11,252
59,2021-12,231
60,2022-01,256
61,2022-02,218
62,2022-03,223
63,2022-04,201
64,2022-05,224
65,2022-06,305
66,2022-07,339
67,2022-08,249
68,2022-09,246
69,2022-10,314
70,2022-11,366
71,2022-12,374
