,year_month,Cincinnati_MVT_911
0,2017-01,46
1,2017-05,6
2,2017-06,357
3,2017-07,412
4,2017-08,334
5,2017-09,372
6,2017-10,328
7,2017-11,322
8,2017-12,437
9,2018-01,417
10,2018-02,311
11,2018-03,279
12,2018-04,289
13,2018-05,271
14,2018-06,302
15,2018-07,366
16,2018-08,295
17,2018-09,277
18,2018-10,283
19,2018-11,269
20,2018-12,255
21,2019-01,256
22,2019-02,251
23,2019-03,284
24,2019-04,275
25,2019-05,290
26,2019-06,315
27,2019-07,346
28,2019-08,381
29,2019-09,353
30,2019-10,331
31,2019-11,346
32,2019-12,336
33,2020-01,301
34,2020-02,269
35,2020-03,281
36,2020-04,254
37,2020-05,294
38,2020-06,345
39,2020-07,382
40,2020-08,380
41,2020-09,357
42,2020-10,389
43,2020-11,387
44,2020-12,361
45,2021-01,339
46,2021-02,287
47,2021-03,384
48,2021-04,319
49,2021-05,329
50,2021-06,374
51,2021-07,360
52,2021-08,480
53,2021-09,567
54,2021-10,368
55,2021-11,336
56,2021-12,292
57,2022-01,293
58,2022-02,254
59,2022-03,266
60,2022-04,236
61,2022-05,355
62,2022-06,376
63,2022-07,501
64,2022-08,520
65,2022-09,397
66,2022-10,350
67,2022-11,382
68,2022-12,418
