,year_month,Las Vegas_MVT_911
0,2019-01-01,8
1,2019-02-01,5
2,2019-03-01,7
3,2019-04-01,3
4,2019-05-01,2
5,2019-06-01,8
6,2019-07-01,10
7,2019-08-01,14
8,2019-09-01,10
9,2019-10-01,5
10,2019-11-01,8
11,2019-12-01,5
12,2020-01-01,10
13,2020-02-01,3
14,2020-03-01,3
15,2020-04-01,7
16,2020-05-01,10
17,2020-06-01,9
18,2020-07-01,9
19,2020-08-01,7
20,2020-09-01,11
21,2020-10-01,5
22,2020-11-01,5
23,2020-12-01,5
24,2021-01-01,1
25,2021-02-01,3
26,2021-05-01,3
27,2021-07-01,1
28,2021-08-01,1
29,2021-09-01,1
30,2021-10-01,1
31,2021-11-01,3
32,2021-12-01,78
33,2022-01-01,493
34,2022-02-01,1
35,2022-04-01,2
36,2022-05-01,2
37,2022-06-01,5
38,2022-07-01,1
39,2022-08-01,5
40,2022-09-01,1
41,2022-10-01,1
42,2022-11-01,5
43,2022-12-01,3
44,2019-01-01,721
45,2019-02-01,620
46,2019-03-01,796
47,2019-04-01,657
48,2019-05-01,781
49,2019-06-01,738
50,2019-07-01,752
51,2019-08-01,718
52,2019-09-01,747
53,2019-10-01,820
54,2019-11-01,744
55,2019-12-01,726
56,2020-01-01,754
57,2020-02-01,645
58,2020-03-01,594
59,2020-04-01,565
60,2020-05-01,662
61,2020-06-01,694
62,2020-07-01,623
63,2020-08-01,659
64,2020-09-01,713
65,2020-10-01,716
66,2020-11-01,753
67,2020-12-01,735
68,2021-01-01,788
69,2021-02-01,720
70,2021-03-01,772
71,2021-04-01,719
72,2021-05-01,831
73,2021-06-01,743
74,2021-07-01,836
75,2021-08-01,825
76,2021-09-01,832
77,2021-10-01,911
78,2021-11-01,798
79,2021-12-01,790
80,2022-01-01,365
81,2022-02-01,818
82,2022-03-01,953
83,2022-04-01,873
84,2022-05-01,929
85,2022-06-01,1016
86,2022-07-01,1032
87,2022-08-01,933
88,2022-09-01,919
89,2022-10-01,1060
90,2022-11-01,949
91,2022-12-01,1020
