,year_month,Philadelphia_MVT_911
0,2017-01,130
1,2017-02,103
2,2017-03,96
3,2017-04,94
4,2017-05,147
5,2017-06,121
6,2017-07,162
7,2017-08,142
8,2017-09,132
9,2017-10,148
10,2017-11,132
11,2017-12,94
12,2018-01,138
13,2018-02,119
14,2018-03,116
15,2018-04,141
16,2018-05,155
17,2018-06,130
18,2018-07,187
19,2018-08,166
20,2018-09,149
21,2018-10,156
22,2018-11,158
23,2018-12,149
24,2019-01,171
25,2019-02,105
26,2019-03,129
27,2019-04,135
28,2019-05,140
29,2019-06,142
30,2019-07,142
31,2019-08,155
32,2019-09,146
33,2019-10,188
34,2019-11,191
35,2019-12,152
36,2020-01,208
37,2020-02,139
38,2020-03,163
39,2020-04,164
40,2020-05,179
41,2020-06,184
42,2020-07,165
43,2020-08,231
44,2020-09,236
45,2020-10,264
46,2020-11,298
47,2020-12,308
48,2021-01,318
49,2021-02,208
50,2021-03,314
51,2021-04,623
52,2021-05,615
53,2021-06,654
54,2021-07,736
55,2021-08,785
56,2021-09,860
57,2021-10,947
58,2021-11,862
59,2021-12,863
60,2022-01,907
61,2022-02,831
62,2022-03,808
63,2022-04,770
64,2022-05,809
65,2022-06,831
66,2022-07,922
67,2022-08,994
68,2022-09,982
69,2022-10,1052
70,2022-11,1259
71,2022-12,1653
