,year_month,San Antonio_MVT_911
0,2017-01-01,190
1,2017-02-01,252
2,2017-03-01,408
3,2017-04-01,450
4,2017-05-01,516
5,2017-06-01,549
6,2017-07-01,548
7,2017-08-01,579
8,2017-09-01,537
9,2017-10-01,604
10,2017-11-01,553
11,2017-12-01,570
12,2018-01-01,537
13,2018-02-01,259
14,2018-03-01,502
15,2018-04-01,462
16,2018-05-01,606
17,2018-06-01,631
18,2018-07-01,587
19,2018-08-01,563
20,2018-09-01,582
21,2018-10-01,626
22,2018-11-01,590
23,2018-12-01,626
24,2019-01-01,700
25,2019-02-01,625
26,2019-03-01,636
27,2019-04-01,649
28,2019-05-01,726
29,2019-06-01,759
30,2019-07-01,808
31,2019-08-01,679
32,2019-09-01,661
33,2019-10-01,666
34,2019-11-01,679
35,2019-12-01,714
36,2020-01-01,746
37,2020-02-01,684
38,2020-03-01,672
39,2020-04-01,656
40,2020-05-01,674
41,2020-06-01,816
42,2020-07-01,891
43,2020-08-01,935
44,2020-09-01,857
45,2020-10-01,1012
46,2020-11-01,868
47,2020-12-01,913
48,2021-01-01,907
49,2021-02-01,741
50,2021-03-01,962
51,2021-04-01,969
52,2021-05-01,1031
53,2021-06-01,1062
54,2021-07-01,1134
55,2021-08-01,1176
56,2021-09-01,1168
57,2021-10-01,1153
58,2021-11-01,1022
59,2021-12-01,1117
60,2022-01-01,1052
61,2022-02-01,1064
62,2022-03-01,1258
63,2022-04-01,1251
64,2022-05-01,1153
65,2022-06-01,1246
66,2022-07-01,1339
67,2022-08-01,1282
68,2022-09-01,1420
69,2022-10-01,1510
70,2022-11-01,1382
71,2022-12-01,1526
72,2017-01-01,389
73,2017-02-01,271
74,2017-03-01,295
75,2017-04-01,290
76,2017-05-01,327
77,2017-06-01,301
78,2017-07-01,282
79,2017-08-01,284
80,2017-09-01,241
81,2017-10-01,298
82,2017-11-01,253
83,2017-12-01,272
84,2018-01-01,272
85,2018-02-01,328
86,2018-03-01,251
87,2018-04-01,222
88,2018-05-01,233
89,2018-06-01,244
90,2018-07-01,245
91,2018-08-01,233
92,2018-09-01,208
93,2018-10-01,232
94,2018-11-01,210
95,2018-12-01,228
96,2019-01-01,229
97,2019-02-01,223
98,2019-03-01,201
99,2019-04-01,224
100,2019-05-01,225
101,2019-06-01,219
102,2019-07-01,244
103,2019-08-01,269
104,2019-09-01,234
105,2019-10-01,264
106,2019-11-01,203
107,2019-12-01,212
108,2020-01-01,214
109,2020-02-01,212
110,2020-03-01,249
111,2020-04-01,215
112,2020-05-01,203
113,2020-06-01,250
114,2020-07-01,239
115,2020-08-01,261
116,2020-09-01,244
117,2020-10-01,249
118,2020-11-01,218
119,2020-12-01,206
120,2021-01-01,206
121,2021-02-01,216
122,2021-03-01,243
123,2021-04-01,228
124,2021-05-01,266
125,2021-06-01,250
126,2021-07-01,269
127,2021-08-01,285
128,2021-09-01,305
129,2021-10-01,295
130,2021-11-01,295
131,2021-12-01,262
132,2022-01-01,272
133,2022-02-01,278
134,2022-03-01,360
135,2022-04-01,314
136,2022-05-01,320
137,2022-06-01,299
138,2022-07-01,278
139,2022-08-01,334
140,2022-09-01,362
141,2022-10-01,402
142,2022-11-01,327
143,2022-12-01,354
