DMA,Year,Percentage of Foreign Born,Percentage of Moved In,Percentage of Renter,Mobility Index,Concentrated Disadvantaged Index,Percentage of Unemployed,Percentage of Single Parent Households,Percentage of Poverty,Heterogeneity Index,Percentage of Young Males,Percentage of Dropped Out,Percentage of Divorced,Population (logged),Less than High School,Percentage of White,Percentage of Black,Percentage of Hispanic,Percentage of Native Americans,Percentage of Internet Subscription per Household,Average Vehicle HH,Population
Abilene-Sweetwater TX,2011,5.0,16.8,28.8,0.5,0.7,2.6,10.1,8.2,0.5,8.3,6.0,10.5,12.6,11.7,68.7,5.8,22.7,0.3,67.3,1.8,311466
Abilene-Sweetwater TX,2012,5.0,18.9,30.8,1.5,1.6,2.7,10.7,9.1,0.5,8.3,6.0,9.4,12.7,12.0,68.3,5.8,23.3,0.3,67.3,1.8,312205
Abilene-Sweetwater TX,2013,4.8,19.5,28.7,1.4,1.1,2.4,10.9,8.6,0.5,8.6,5.9,9.1,12.7,11.7,68.0,5.6,23.7,0.4,67.3,1.8,312568
Abilene-Sweetwater TX,2014,4.6,19.1,30.8,1.6,1.3,2.4,11.4,9.3,0.5,8.5,6.4,9.6,12.7,11.2,67.3,5.7,24.1,0.5,74.2,2.2,313369
Abilene-Sweetwater TX,2015,5.1,16.8,30.8,0.8,0.3,2.0,11.6,8.1,0.5,8.4,6.6,9.8,12.7,10.2,66.6,6.0,24.5,0.3,66.8,1.8,313896
Abilene-Sweetwater TX,2016,5.3,16.7,31.0,0.8,-0.5,1.9,10.0,7.9,0.5,8.3,6.6,9.5,12.7,10.4,66.1,6.1,24.7,0.4,74.7,1.8,314284
Abilene-Sweetwater TX,2017,6.1,17.4,27.8,0.5,0.3,1.9,11.2,8.2,0.5,8.2,6.2,9.9,12.7,10.6,65.6,6.2,25.1,0.2,75.8,1.8,313013
Abilene-Sweetwater TX,2018,5.3,18.3,29.8,1.2,-0.3,1.9,10.9,7.5,0.5,8.4,6.8,10.2,12.7,9.9,64.9,6.1,25.4,0.4,82.9,1.8,314362
Abilene-Sweetwater TX,2019,5.3,16.0,29.5,0.3,-2.1,1.4,10.0,6.0,0.5,8.2,6.6,9.3,12.7,9.0,64.9,6.1,25.9,0.3,84.8,1.8,314518
Abilene-Sweetwater TX,2020,5.7,17.4,28.7,0.6,-1.6,1.6,10.6,6.7,0.5,8.4,7.1,9.6,12.7,8.3,63.3,5.8,26.5,0.2,87.4,1.9,316926
Abilene-Sweetwater TX,2021,5.2,14.9,28.4,-0.3,-0.4,1.7,11.4,8.0,0.5,8.1,6.7,9.4,12.7,9.4,63.7,5.6,26.5,0.1,89.7,1.9,317217
Abilene-Sweetwater TX,2022,6.2,17.0,29.5,0.6,-0.9,1.7,10.7,8.2,0.5,8.3,7.1,9.7,12.7,8.4,63.0,6.1,26.7,0.2,92.3,1.9,319060
Albany GA,2011,4.0,14.4,35.7,0.8,8.9,5.1,15.7,13.5,0.6,7.6,11.7,9.2,12.9,16.0,51.5,38.0,6.2,0.1,60.4,1.7,419543
Albany GA,2012,4.0,14.8,36.2,1.1,9.8,5.8,15.8,14.4,0.6,7.5,10.5,9.4,12.9,15.6,51.2,37.8,6.6,0.1,60.4,1.7,420273
Albany GA,2013,4.4,14.5,36.0,0.9,9.9,5.6,16.9,14.6,0.6,7.6,10.1,9.4,12.9,15.0,51.3,37.9,6.7,0.1,60.4,1.7,418894
Albany GA,2014,4.3,14.4,37.2,1.1,9.0,5.3,15.5,14.7,0.6,7.4,8.7,9.2,12.9,14.7,51.2,37.8,6.8,0.1,66.7,1.9,417974
Albany GA,2015,4.0,13.9,37.1,0.9,8.1,4.6,16.0,14.4,0.6,7.2,8.2,9.2,12.9,14.0,51.1,38.0,7.0,0.1,66.9,1.7,416107
Albany GA,2016,4.2,13.8,38.2,1.1,7.4,4.2,15.3,15.0,0.6,7.1,7.3,8.8,12.9,13.1,51.2,37.9,7.2,0.1,71.6,1.7,413816
Albany GA,2017,4.4,14.5,37.9,1.3,7.2,3.9,16.3,14.1,0.6,7.2,7.0,9.0,12.9,12.7,51.1,38.0,7.3,0.2,75.3,1.7,412410
Albany GA,2018,4.2,14.9,39.7,1.7,6.7,3.5,16.2,13.5,0.6,7.3,6.8,9.3,12.9,13.5,50.7,38.0,7.2,0.2,76.4,1.7,412936
Albany GA,2019,4.3,13.8,39.3,1.3,6.2,3.5,15.5,13.1,0.6,7.3,6.0,9.6,12.9,13.0,50.9,38.3,7.5,0.2,72.9,1.7,409055
Albany GA,2020,4.4,11.6,37.3,0.1,5.0,2.9,16.3,11.9,0.6,7.2,6.3,10.4,12.9,11.6,50.4,38.1,8.1,0.1,77.4,1.8,407437
Albany GA,2021,4.1,11.5,37.7,0.2,4.7,2.9,15.4,11.4,0.6,7.2,5.8,10.3,12.9,12.4,50.7,38.4,7.9,0.1,81.7,1.8,407733
Albany GA,2022,4.5,10.4,35.9,-0.5,5.3,2.9,16.7,12.7,0.6,7.2,6.3,10.5,12.9,11.0,50.6,38.3,8.1,0.1,84.5,1.8,405365
Albany-Schenectady-Troy NY,2011,5.3,12.7,27.4,-1.3,-0.8,4.3,9.5,5.1,0.3,7.5,4.6,8.1,14.1,6.5,85.7,5.3,4.3,0.2,77.9,1.7,1390886
