DMA,Year,Percentage of Foreign Born,Percentage of Moved In,Percentage of Renter,Mobility Index,Concentrated Disadvantaged Index,Percentage of Unemployed,Percentage of Single Parent Households,Percentage of Poverty,Heterogeneity Index,Percentage of Young Males,Percentage of Dropped Out,Percentage of Divorced,Population (logged),Less than High School,Percentage of White,Percentage of Black,Percentage of Hispanic,Percentage of Native Americans,Percentage of Internet Subscription per Household,Average Vehicle HH,Population
Abilene-Sweetwater TX,2011,5.2,18.9,31.8,1.0,0.2,2.9,9.6,7.0,0.5,9.1,,11.0,12.0,10.1,65.9,8.2,22.0,0.3,66.0,1.7,165858
Abilene-Sweetwater TX,2012,5.2,22.7,36.3,2.9,2.0,3.0,11.4,9.2,0.5,9.1,,9.7,12.0,10.4,67.9,7.6,21.3,0.2,66.0,1.8,167800
Abilene-Sweetwater TX,2013,4.7,25.5,30.7,2.8,0.3,2.4,10.4,7.5,0.5,9.4,,8.5,12.0,10.1,66.4,7.5,22.6,0.2,66.0,1.8,168144
Abilene-Sweetwater TX,2014,4.1,24.9,35.4,3.4,1.0,2.4,11.9,8.8,0.5,9.5,,10.2,12.0,8.9,65.9,7.1,23.1,0.5,72.2,2.7,166900
Abilene-Sweetwater TX,2015,5.2,20.8,35.9,2.3,-0.6,1.8,12.3,6.3,0.5,9.1,,9.6,12.0,7.7,65.1,7.5,23.4,0.4,66.4,1.8,168922
Abilene-Sweetwater TX,2016,5.3,19.8,37.1,2.2,-0.8,1.7,10.8,7.1,0.5,8.5,,8.7,12.0,8.6,65.0,8.0,22.6,0.6,72.6,1.7,170860
Abilene-Sweetwater TX,2017,7.0,21.0,31.2,1.6,0.5,1.8,12.5,7.8,0.5,8.9,,10.0,12.0,9.3,63.1,8.4,24.3,0.1,74.7,1.8,169747
Abilene-Sweetwater TX,2018,5.7,23.4,33.8,2.7,-0.4,1.7,12.1,7.2,0.5,9.2,,10.2,12.1,8.0,63.6,7.7,23.2,0.4,83.2,1.8,174006
Abilene-Sweetwater TX,2019,5.3,18.4,34.7,1.4,-3.0,1.1,10.5,4.8,0.5,8.6,,8.4,12.1,6.4,62.8,8.4,25.1,0.1,85.8,1.8,171795
Abilene-Sweetwater TX,2021,5.3,15.5,31.9,0.1,-0.0,1.3,12.5,8.8,0.5,8.3,,8.6,12.1,7.9,62.9,7.1,24.4,0.0,88.9,1.9,178608
Abilene-Sweetwater TX,2022,7.6,19.8,35.0,1.9,-0.4,1.2,11.3,10.1,0.6,8.6,,9.0,12.1,7.1,61.1,8.3,25.3,0.1,91.5,1.9,180982
Albany GA,2011,1.7,15.0,44.3,2.1,11.1,6.7,17.2,15.0,0.6,7.7,8.4,9.7,12.0,14.4,37.4,50.2,2.5,0.3,63.1,1.6,161617
Albany GA,2012,2.3,15.7,41.8,1.9,11.0,7.4,17.3,14.3,0.6,7.3,8.4,9.9,12.0,12.7,39.0,52.4,2.7,0.3,63.1,1.6,155019
Albany GA,2013,3.0,15.5,44.0,2.2,11.2,7.0,18.9,14.4,0.6,7.9,8.4,10.2,12.0,12.7,38.7,51.9,2.6,0.3,63.1,1.6,156277
Albany GA,2014,2.1,15.8,45.3,2.5,8.9,5.7,17.8,13.1,0.6,7.1,8.4,9.0,11.9,11.9,39.7,53.2,2.7,0.4,69.9,2.6,152596
Albany GA,2015,2.2,13.4,42.9,1.4,8.4,5.6,17.5,12.7,0.6,6.5,8.4,9.9,12.0,11.4,38.5,51.7,2.6,0.3,69.6,1.7,156997
Albany GA,2016,1.5,14.9,45.5,2.3,8.1,4.8,17.8,14.7,0.6,6.7,8.4,9.6,11.9,9.9,39.7,53.2,2.7,0.4,74.0,1.7,152506
Albany GA,2017,2.2,17.7,44.8,3.0,7.9,4.8,19.5,13.1,0.6,7.4,8.4,9.2,11.9,9.1,39.9,53.5,2.7,0.4,76.6,1.7,151754
Albany GA,2018,2.6,18.6,47.7,3.8,7.5,4.1,18.7,12.7,0.6,7.7,8.4,9.3,11.9,10.9,40.0,53.7,2.7,0.4,76.1,1.7,151158
Albany GA,2019,1.9,19.0,45.0,3.4,6.8,4.7,16.5,11.7,0.6,8.3,8.4,12.0,11.9,11.4,40.4,54.0,2.9,0.3,73.2,1.6,147384
Albany GA,2021,1.4,13.7,41.1,1.1,3.6,3.4,15.4,8.3,0.6,8.1,8.4,11.1,11.9,10.2,39.8,53.2,3.1,0.2,80.6,1.8,146961
Albany GA,2022,3.1,11.2,37.2,-0.3,6.5,3.7,19.3,13.7,0.6,7.7,8.4,10.6,11.9,7.3,39.3,52.4,3.3,0.1,83.1,1.8,146387
Albany-Schenectady-Troy NY,2011,6.3,13.1,29.0,-1.2,-1.1,4.3,9.4,4.8,0.3,7.9,3.8,7.4,13.7,5.4,82.5,6.9,4.4,0.1,77.9,1.7,871478
Albany-Schenectady-Troy NY,2012,6.9,12.4,30.1,-1.2,-1.6,4.3,8.9,4.0,0.3,7.6,2.3,8.3,13.7,5.4,82.0,7.2,4.5,0.1,77.9,1.6,874646
Albany-Schenectady-Troy NY,2013,7.4,13.5,29.7,-0.9,-1.5,4.0,8.8,5.1,0.3,7.6,2.7,8.0,13.7,5.4,81.5,7.2,4.7,0.2,77.9,1.7,877905
