DMA,MVT_GT_2011,MVT_GT_2012,MVT_GT_2013,MVT_GT_2014,MVT_GT_2015,MVT_GT_2016,MVT_GT_2017,MVT_GT_2018,MVT_GT_2019,MVT_GT_2020,MVT_GT_2021,MVT_GT_2022
Abilene-Sweetwater TX,62.47,46.67,49.5,93.09,60.62,70.27,43.2,47.17,58.47,21.4,24.29,34.0
Albany-Schenectady-Troy NY,27.8,30.93,40.27,45.73,52.8,50.67,32.53,35.0,41.8,31.0,21.2,42.67
Albuquerque-Santa Fe NM,38.2,57.8,59.8,57.4,67.0,78.67,73.2,83.53,75.87,57.67,43.0,65.33
Amarillo TX,44.62,26.43,45.87,39.86,57.4,43.47,46.47,48.0,67.53,44.8,41.4,34.93
Atlanta GA,45.73,45.87,56.8,77.33,75.8,65.2,46.47,60.8,66.93,49.27,44.73,47.93
Augusta GA,51.6,43.33,73.6,87.0,68.93,58.13,31.73,57.33,49.87,43.2,35.0,37.93
Austin TX,44.33,45.07,54.0,63.47,55.6,36.93,37.8,47.6,48.33,47.0,38.07,50.13
Bakersfield CA,96.67,100.0,59.33,58.17,98.93,100.0,100.0,95.47,91.87,100.0,100.0,88.2
Baltimore MD,46.73,38.87,35.2,58.8,53.4,68.2,43.8,53.07,52.0,46.53,34.67,49.73
Baton Rouge LA,27.14,13.15,49.6,57.0,54.6,48.87,30.6,51.47,46.53,42.07,42.47,51.0
Birmingham AL,48.27,37.53,57.33,34.4,42.47,53.87,38.6,48.67,58.07,49.93,36.13,47.27
Boise ID,37.36,31.38,17.67,32.69,41.77,29.62,38.38,38.23,45.85,22.08,22.85,25.57
Boston MA-Manchester NH,40.67,35.07,45.6,45.4,45.6,39.67,28.93,32.6,34.0,36.47,29.07,30.93
Buffalo NY,48.6,43.33,46.53,31.93,42.6,37.2,27.07,43.27,46.73,44.2,39.27,54.33
Burlington VT-Plattsburgh NY,42.8,17.93,36.8,28.87,31.73,33.27,25.53,32.8,32.6,28.33,21.87,26.87
Champaign & Springfield-Decatur IL,33.0,29.13,53.2,35.0,30.0,36.0,34.67,27.87,36.93,39.6,33.93,36.07
Charleston SC,29.08,28.87,50.33,27.87,63.2,57.6,41.07,61.4,60.4,56.67,30.47,36.2
Charleston-Huntington WV,37.89,36.87,46.33,36.27,47.6,46.53,34.13,40.47,52.2,27.07,30.6,43.27
Charlotte NC,42.73,36.6,48.0,57.33,61.67,57.67,47.2,53.87,60.73,47.93,41.13,46.73
Chattanooga TN,42.14,43.4,41.8,59.73,57.0,44.47,52.73,49.67,48.87,41.87,45.4,50.73
Chicago IL,51.13,47.67,54.53,57.27,57.2,54.07,47.13,49.47,58.93,53.13,44.87,60.6
Cincinnati OH,34.33,36.53,46.2,56.6,46.27,58.13,37.87,44.53,51.33,43.2,38.27,55.0
Cleveland-Akron (Canton) OH,41.73,39.33,44.87,58.2,47.6,57.2,38.93,45.0,48.73,38.8,37.27,57.53
Colorado Springs-Pueblo CO,49.8,51.47,66.93,62.4,39.8,66.07,54.53,84.47,90.0,66.73,50.73,69.27
Columbia SC,42.07,46.33,57.13,55.8,57.4,47.73,49.87,57.33,50.07,58.67,46.33,57.07
Columbus OH,43.8,42.73,52.13,54.87,52.33,49.87,38.47,48.27,60.4,42.13,49.07,82.6
Dallas-Ft. Worth TX,56.67,46.93,57.4,61.27,59.2,57.8,41.53,48.33,60.93,46.4,40.4,52.07
Davenport IA-Rock Island-Moline IL,24.14,34.47,32.0,63.27,42.4,36.4,30.53,61.4,57.53,59.6,42.53,44.93
Dayton OH,45.4,28.0,37.2,39.6,43.93,50.13,42.8,53.13,69.2,43.87,33.87,50.93
Denver CO,40.6,44.07,53.87,69.93,60.73,62.33,49.13,61.87,71.0,67.67,67.27,99.87
Des Moines-Ames IA,37.93,23.73,35.0,47.13,33.0,53.67,35.0,39.67,40.0,38.53,35.4,35.67
Detroit MI,64.8,55.4,68.13,78.47,74.0,61.27,44.13,41.27,57.67,45.27,39.13,55.53
El Paso TX,47.8,39.4,51.07,48.33,28.36,39.73,38.93,45.73,48.33,40.67,35.6,50.47
Eugene OR,40.79,16.6,64.93,47.07,49.93,52.6,66.53,43.67,64.07,54.27,43.4,55.13
Flint-Saginaw-Bay City MI,32.27,37.4,39.36,42.2,26.58,28.53,35.0,35.67,31.67,28.87,28.33,34.0
Florence-Myrtle Beach SC,26.62,51.15,32.55,50.69,82.77,43.36,36.29,44.57,46.79,36.21,25.36,56.29
Fresno-Visalia CA,68.0,67.73,98.47,89.67,77.47,89.2,61.53,89.93,73.93,71.8,58.47,66.53
Ft. Myers-Naples FL,35.73,24.0,31.47,42.27,31.53,61.67,38.13,51.2,51.27,35.07,31.0,25.07
Ft. Smith-Fayetteville-Springdale-Rogers AR,27.25,18.0,30.0,57.2,36.47,36.93,23.4,38.53,61.27,41.2,34.27,39.47
Grand Rapids-Kalamazoo-Battle Creek MI,25.27,28.0,40.0,40.07,27.67,38.67,27.8,40.6,44.53,41.73,36.47,55.13
Green Bay-Appleton WI,22.57,24.2,24.2,28.5,46.87,37.6,21.93,31.87,30.13,27.93,19.53,46.53
Greensboro-High Point-Winston Salem NC,29.53,21.93,35.33,31.07,57.27,53.93,33.8,51.53,72.0,34.67,35.67,46.13
