Year,DMA,GT MVT
2011,Abilene-Sweetwater TX,56.97
2011,Albany GA,100.0
2011,Albany-Schenectady-Troy NY,23.03
2011,Albuquerque-Santa Fe NM,35.56
2011,Amarillo TX,48.56
2011,Atlanta GA,41.23
2011,Augusta GA,50.54
2011,Austin TX,43.15
2011,Bakersfield CA,92.25
2011,Baltimore MD,41.74
2011,Baton Rouge LA,25.0
2011,Birmingham AL,44.45
2011,Boise ID,31.31
2011,Boston MA-Manchester NH,36.46
2011,Buffalo NY,41.46
2011,Burlington VT-Plattsburgh NY,38.38
2011,Champaign & Springfield-Decatur IL,33.52
2011,Charleston SC,38.31
2011,Charleston-Huntington WV,32.38
2011,Charlotte NC,38.29
2011,Chattanooga TN,40.27
2011,Chicago IL,48.03
2011,Cincinnati OH,31.54
2011,Cleveland-Akron (Canton) OH,40.2
2011,Colorado Springs-Pueblo CO,47.48
2011,Columbia SC,39.42
2011,Columbus OH,39.37
2011,Dallas-Ft. Worth TX,53.85
2011,Davenport IA-Rock Island-Moline IL,31.48
2011,Dayton OH,42.09
2011,Denver CO,37.66
2011,Des Moines-Ames IA,36.6
2011,Detroit MI,57.83
2011,El Paso TX,46.03
2011,Eugene OR,39.79
2011,Eureka CA,100.0
2011,Flint-Saginaw-Bay City MI,31.38
2011,Florence-Myrtle Beach SC,29.92
2011,Fresno-Visalia CA,62.47
2011,Ft. Myers-Naples FL,29.97
2011,Ft. Smith-Fayetteville-Springdale-Rogers AR,25.24
2011,Grand Rapids-Kalamazoo-Battle Creek MI,25.37
2011,Green Bay-Appleton WI,20.08
2011,Greensboro-High Point-Winston Salem NC,27.23
2011,Greenville-New Bern-Washington NC,20.0
2011,Greenville-Spartanburg SC-Asheville NC-Anderson SC,37.71
2011,Harlingen-Weslaco-Brownsville-McAllen TX,57.84
2011,Harrisburg-Lancaster-Lebanon-York PA,37.94
2011,Hartford & New Haven CT,32.77
2011,Honolulu HI,57.47
2011,Houston TX,49.21
2011,Huntsville-Decatur (Florence) AL,21.29
2011,Indianapolis IN,39.97
2011,Jackson MS,48.6
2011,Jacksonville FL,39.69
2011,Kansas City MO,56.24
2011,Knoxville TN,53.26
2011,Lansing MI,23.46
2011,Las Vegas NV,75.0
2011,Lexington KY,21.16
2011,Lincoln & Hastings-Kearney NE,54.21
2011,Little Rock-Pine Bluff AR,34.16
2011,Los Angeles CA,58.84
2011,Louisville KY,39.54
2011,Macon GA,32.0
2011,Madison WI,32.38
2011,Memphis TN,39.41
2011,Miami-Ft. Lauderdale FL,44.14
2011,Milwaukee WI,50.97
2011,Minneapolis-St. Paul MN,40.42
2011,Minot-Bismarck-Dickinson(Williston) ND,41.0
2011,Missoula MT,45.0
2011,Mobile AL-Pensacola (Ft. Walton Beach) FL,43.35
2011,Monterey-Salinas CA,67.25
2011,Nashville TN,31.79
2011,New Orleans LA,39.76
2011,New York NY,44.0
2011,Norfolk-Portsmouth-Newport News VA,41.23
2011,Oklahoma City OK,47.3
2011,Omaha NE,51.94
2011,Orlando-Daytona Beach-Melbourne FL,49.31
2011,Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,47.15
2011,Peoria-Bloomington IL,43.39
2011,Philadelphia PA,43.43
2011,Phoenix AZ,49.0
2011,Pittsburgh PA,35.86
2011,Portland OR,54.28
2011,Portland-Auburn ME,31.24
2011,Providence RI-New Bedford MA,40.94
2011,Raleigh-Durham (Fayetteville) NC,31.34
2011,Reno NV,39.89
2011,Richmond-Petersburg VA,27.31
2011,Roanoke-Lynchburg VA,23.71
2011,Rochester NY,39.31
2011,Sacramento-Stockton-Modesto CA,61.5
2011,Salt Lake City UT,38.09
2011,San Antonio TX,59.03
2011,San Diego CA,63.84
2011,San Francisco-Oakland-San Jose CA,60.38
2011,Santa Barbara-Santa Maria-San Luis Obispo CA,46.28
2011,Savannah GA,38.56
2011,Seattle-Tacoma WA,57.53
2011,Shreveport LA,45.59
2011,Sioux Falls(Mitchell) SD,34.13
2011,South Bend-Elkhart IN,60.0
2011,Spokane WA,55.62
2011,Springfield MO,49.06
2011,Springfield-Holyoke MA,46.3
2011,St. Louis MO,40.09
2011,Syracuse NY,24.59
2011,Tallahassee FL-Thomasville GA,52.0
2011,Tampa-St. Petersburg (Sarasota) FL,38.29
2011,Toledo OH,46.76
2011,Tucson (Sierra Vista) AZ,57.22
2011,Tulsa OK,63.06
2011,Waco-Temple-Bryan TX,32.59
2011,Washington DC (Hagerstown MD),41.89
2011,West Palm Beach-Ft. Pierce FL,42.91
2011,Wichita-Hutchinson KS,36.94
2011,Wilkes Barre-Scranton PA,37.06
2011,Yakima-Pasco-Richland-Kennewick WA,34.47
2012,Abilene-Sweetwater TX,50.97
2012,Albany-Schenectady-Troy NY,29.58
2012,Albuquerque-Santa Fe NM,58.7
2012,Amarillo TX,34.64
2012,Atlanta GA,45.61
2012,Augusta GA,37.67
2012,Austin TX,44.3
2012,Bakersfield CA,96.03
2012,Baltimore MD,38.55
2012,Baton Rouge LA,13.24
2012,Birmingham AL,41.0
2012,Boise ID,33.0
2012,Boston MA-Manchester NH,34.82
2012,Buffalo NY,43.97
2012,Burlington VT-Plattsburgh NY,22.56
2012,Champaign & Springfield-Decatur IL,28.38
2012,Charleston SC,28.5
2012,Charleston-Huntington WV,33.52
2012,Charlotte NC,37.0
2012,Chattanooga TN,41.94
2012,Cheyenne WY-Scottsbluff NE,100.0
2012,Chicago IL,47.88
2012,Chico-Redding CA,76.0
2012,Cincinnati OH,34.09
2012,Cleveland-Akron (Canton) OH,40.03
2012,Colorado Springs-Pueblo CO,49.97
2012,Columbia SC,45.45
2012,Columbus OH,43.42
2012,Dallas-Ft. Worth TX,47.12
2012,Davenport IA-Rock Island-Moline IL,31.23
2012,Dayton OH,29.84
2012,Denver CO,44.27
2012,Des Moines-Ames IA,24.44
2012,Detroit MI,55.39
2012,El Paso TX,49.06
2012,Eugene OR,16.94
2012,Flint-Saginaw-Bay City MI,37.06
2012,Florence-Myrtle Beach SC,49.52
2012,Fresno-Visalia CA,67.7
2012,Ft. Myers-Naples FL,28.09
2012,Ft. Smith-Fayetteville-Springdale-Rogers AR,18.64
2012,Ft. Wayne IN,55.0
2012,Grand Rapids-Kalamazoo-Battle Creek MI,27.45
2012,Green Bay-Appleton WI,23.9
2012,Greensboro-High Point-Winston Salem NC,22.61
2012,Greenville-Spartanburg SC-Asheville NC-Anderson SC,46.73
2012,Harlingen-Weslaco-Brownsville-McAllen TX,41.68
2012,Harrisburg-Lancaster-Lebanon-York PA,32.73
2012,Hartford & New Haven CT,41.24
2012,Honolulu HI,37.97
2012,Houston TX,54.09
2012,Huntsville-Decatur (Florence) AL,37.13
2012,Indianapolis IN,35.27
2012,Jackson MS,38.29
2012,Jacksonville FL,33.09
2012,Kansas City MO,61.82
2012,Knoxville TN,40.73
2012,La Crosse-Eau Claire WI,66.0
2012,Lansing MI,32.06
2012,Las Vegas NV,71.42
2012,Lexington KY,37.48
2012,Lincoln & Hastings-Kearney NE,34.79
2012,Little Rock-Pine Bluff AR,44.88
2012,Los Angeles CA,66.94
2012,Louisville KY,34.3
2012,Madison WI,42.7
2012,Memphis TN,33.06
2012,Miami-Ft. Lauderdale FL,46.85
2012,Milwaukee WI,43.76
2012,Minneapolis-St. Paul MN,37.82
2012,Mobile AL-Pensacola (Ft. Walton Beach) FL,27.0
2012,Monterey-Salinas CA,50.31
2012,Nashville TN,39.82
2012,New Orleans LA,37.06
2012,New York NY,40.45
