year_month,DMA,GT MVT
2017-01,Albuquerque-Santa Fe NM,53.2
2017-01,Atlanta GA,69.4
2017-01,Austin TX,28.7
2017-01,Bakersfield CA,37.4
2017-01,Baltimore MD,53.4
2017-01,Boston MA-Manchester NH,40.8
2017-01,Charlotte NC,62.5
2017-01,Chicago IL,47.3
2017-01,Cincinnati OH,46.6
2017-01,Cincinnati OH,34.0
2017-01,Colorado Springs-Pueblo CO,45.9
2017-01,Columbus OH,26.7
2017-01,Dallas-Ft. Worth TX,67.6
2017-01,Denver CO,38.3
2017-01,Detroit MI,70.8
2017-01,El Paso TX,39.4
2017-01,Fresno-Visalia CA,26.4
2017-01,Houston TX,48.9
2017-01,Jacksonville FL,26.0
2017-01,Kansas City MO,55.5
2017-01,Las Vegas NV,58.1
2017-01,Los Angeles CA,57.0
2017-01,Louisville KY,34.2
2017-01,Memphis TN,52.2
2017-01,Miami-Ft. Lauderdale FL,80.1
2017-01,Milwaukee WI,69.1
2017-01,Minneapolis-St. Paul MN,36.2
2017-01,Nashville TN,41.7
2017-01,New Orleans LA,52.2
2017-01,New York NY,71.2
2017-01,Norfolk-Portsmouth-Newport News VA,34.0
2017-01,Oklahoma City OK,48.9
2017-01,Omaha NE,24.8
2017-01,Ontario,35.4
2017-01,Philadelphia PA,52.5
2017-01,Phoenix AZ,62.0
2017-01,Portland OR,27.9
2017-01,Raleigh-Durham (Fayetteville) NC,31.6
2017-01,Sacramento-Stockton-Modesto CA,46.3
2017-01,San Antonio TX,23.4
2017-01,San Diego CA,61.0
2017-01,San Francisco-Oakland-San Jose CA,67.4
2017-01,Seattle-Tacoma WA,51.2
2017-01,Tucson AZ,41.2
2017-01,Tulsa OK,29.7
2017-01,Washington DC (Hagerstown MD),48.6
2017-01,Wichita-Hutchinson KS,38.5
2017-02,Albuquerque-Santa Fe NM,62.3
2017-02,Atlanta GA,38.8
2017-02,Austin TX,44.9
2017-02,Bakersfield CA,40.6
2017-02,Baltimore MD,29.9
2017-02,Boston MA-Manchester NH,45.4
2017-02,Charlotte NC,48.2
2017-02,Chicago IL,49.6
2017-02,Cincinnati OH,46.2
2017-02,Cincinnati OH,44.0
2017-02,Colorado Springs-Pueblo CO,45.6
2017-02,Columbus OH,24.1
2017-02,Dallas-Ft. Worth TX,43.9
2017-02,Denver CO,26.3
2017-02,Detroit MI,67.1
2017-02,El Paso TX,34.0
2017-02,Fresno-Visalia CA,22.2
2017-02,Houston TX,49.0
2017-02,Jacksonville FL,29.2
2017-02,Kansas City MO,33.7
2017-02,Las Vegas NV,32.2
2017-02,Los Angeles CA,43.0
2017-02,Louisville KY,32.7
2017-02,Memphis TN,34.7
2017-02,Miami-Ft. Lauderdale FL,51.6
2017-02,Milwaukee WI,46.8
2017-02,Minneapolis-St. Paul MN,31.2
2017-02,Nashville TN,33.6
2017-02,New Orleans LA,53.3
2017-02,New Orleans LA,62.0
2017-02,New York NY,40.7
2017-02,Norfolk-Portsmouth-Newport News VA,28.5
2017-02,Oklahoma City OK,27.1
2017-02,Omaha NE,34.2
2017-02,Ontario,30.2
2017-02,Philadelphia PA,48.0
2017-02,Phoenix AZ,47.2
2017-02,Portland OR,36.7
2017-02,Raleigh-Durham (Fayetteville) NC,32.8
2017-02,Sacramento-Stockton-Modesto CA,50.7
2017-02,San Antonio TX,28.6
2017-02,San Diego CA,37.2
2017-02,San Francisco-Oakland-San Jose CA,73.4
2017-02,Seattle-Tacoma WA,43.6
2017-02,Tucson AZ,32.6
2017-02,Tulsa OK,31.1
2017-02,Washington DC (Hagerstown MD),32.8
2017-02,Wichita-Hutchinson KS,32.7
2017-03,Albuquerque-Santa Fe NM,35.4
2017-03,Atlanta GA,33.3
2017-03,Austin TX,47.0
2017-03,Bakersfield CA,34.2
2017-03,Baltimore MD,53.4
2017-03,Boston MA-Manchester NH,30.6
2017-03,Charlotte NC,51.8
2017-03,Chicago IL,37.7
2017-03,Cincinnati OH,48.4
2017-03,Cincinnati OH,46.0
2017-03,Colorado Springs-Pueblo CO,39.6
2017-03,Columbus OH,28.2
2017-03,Dallas-Ft. Worth TX,58.1
2017-03,Denver CO,34.8
2017-03,Detroit MI,42.0
2017-03,El Paso TX,36.9
2017-03,Fresno-Visalia CA,32.5
2017-03,Houston TX,53.6
2017-03,Jacksonville FL,34.7
2017-03,Kansas City MO,44.5
2017-03,Las Vegas NV,49.4
2017-03,Los Angeles CA,50.8
2017-03,Louisville KY,27.4
2017-03,Memphis TN,24.0
2017-03,Miami-Ft. Lauderdale FL,56.9
2017-03,Milwaukee WI,23.9
2017-03,Minneapolis-St. Paul MN,26.1
2017-03,Nashville TN,46.4
2017-03,New Orleans LA,49.7
2017-03,New York NY,58.7
2017-03,Norfolk-Portsmouth-Newport News VA,42.8
2017-03,Oklahoma City OK,23.4
2017-03,Omaha NE,28.9
2017-03,Ontario,98.4
2017-03,Philadelphia PA,24.1
2017-03,Phoenix AZ,60.7
2017-03,Portland OR,31.0
2017-03,Raleigh-Durham (Fayetteville) NC,50.5
2017-03,Sacramento-Stockton-Modesto CA,82.3
2017-03,San Antonio TX,47.8
2017-03,San Diego CA,38.1
2017-03,San Francisco-Oakland-San Jose CA,62.0
2017-03,Seattle-Tacoma WA,46.4
2017-03,Tucson AZ,27.9
2017-03,Tulsa OK,28.9
2017-03,Washington DC (Hagerstown MD),40.4
2017-03,Wichita-Hutchinson KS,38.3
2017-04,Albuquerque-Santa Fe NM,35.5
2017-04,Atlanta GA,38.2
2017-04,Austin TX,26.6
2017-04,Bakersfield CA,33.8
2017-04,Baltimore MD,32.2
2017-04,Boston MA-Manchester NH,58.4
2017-04,Charlotte NC,42.0
2017-04,Chicago IL,45.0
2017-04,Cincinnati OH,37.2
2017-04,Colorado Springs-Pueblo CO,32.4
2017-04,Columbus OH,27.9
2017-04,Dallas-Ft. Worth TX,51.1
2017-04,Denver CO,25.3
2017-04,Detroit MI,53.0
2017-04,El Paso TX,35.0
2017-04,Fresno-Visalia CA,24.9
2017-04,Houston TX,51.7
2017-04,Jacksonville FL,34.3
2017-04,Kansas City MO,34.7
2017-04,Las Vegas NV,53.8
2017-04,Los Angeles CA,44.1
2017-04,Louisville KY,31.7
2017-04,Memphis TN,33.5
2017-04,Miami-Ft. Lauderdale FL,34.7
2017-04,Milwaukee WI,28.9
2017-04,Minneapolis-St. Paul MN,26.3
2017-04,Nashville TN,41.4
2017-04,New Orleans LA,46.0
2017-04,New York NY,42.4
2017-04,Norfolk-Portsmouth-Newport News VA,32.3
2017-04,Oklahoma City OK,32.8
2017-04,Omaha NE,43.6
2017-04,Ontario,29.2
2017-04,Philadelphia PA,39.4
2017-04,Phoenix AZ,47.6
2017-04,Portland OR,36.8
2017-04,Raleigh-Durham (Fayetteville) NC,34.7
2017-04,Sacramento-Stockton-Modesto CA,69.9
2017-04,San Antonio TX,44.8
2017-04,San Diego CA,47.2
