,Region,year_month,Car CPI,Semiconductor PPI,DMA
0,"Atlanta-Sandy Springs-Roswell, GA",2017-01-01,,56.0,Atlanta GA
1,"Baltimore-Columbia-Towson, MD",2017-01-01,,56.0,Baltimore MD
2,"Boston-Cambridge-Newton, MA-NH",2017-01-01,,56.0,Boston MA-Manchester NH
3,"Chicago-Naperville-Elgin, IL-IN-WI",2017-01-01,,56.0,Chicago IL
4,"Dallas-Fort Worth-Arlington, TX",2017-01-01,,56.0,Dallas-Ft. Worth TX
5,"Denver-Aurora-Lakewood, CO",2017-01-01,,56.0,Denver CO
6,"Detroit-Warren-Dearborn, MI",2017-01-01,,56.0,Detroit MI
7,"Houston-The Woodlands-Sugar Land, TX",2017-01-01,,56.0,Houston TX
8,"Los Angeles-Long Beach-Anaheim, CA",2017-01-01,,56.0,Los Angeles CA
9,"Miami-Fort Lauderdale-West Palm Beach, FL",2017-01-01,,56.0,Miami-Ft. Lauderdale FL
10,"Minneapolis-St.Paul-Bloomington, MN-WI",2017-01-01,,56.0,Minneapolis-St. Paul MN
11,"New York-Newark-Jersey City, NY-NJ-PA",2017-01-01,,56.0,New York NY
12,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2017-01-01,,56.0,Philadelphia PA
13,"Phoenix-Mesa-Scottsdale, AZ",2017-01-01,,56.0,Phoenix AZ
14,"Riverside-San Bernardino-Ontario, CA",2017-01-01,,56.0,
15,"San Diego-Carlsbad, CA",2017-01-01,,56.0,San Diego CA
16,"San Francisco-Oakland-Hayward, CA",2017-01-01,,56.0,San Francisco-Oakland-San Jose CA
17,Seattle-Tacoma-Bellevue WA,2017-01-01,,56.0,Seattle-Tacoma WA
18,"St. Louis, MO-IL",2017-01-01,,56.0,St. Louis MO
19,"Tampa-St. Petersburg-Clearwater, FL",2017-01-01,,56.0,Tampa-St. Petersburg (Sarasota) FL
20,Urban Alaska,2017-01-01,,56.0,Anchorage AK
21,Urban Hawaii,2017-01-01,,56.0,Honolulu HI
22,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2017-01-01,,56.0,Washington DC (Hagerstown MD)
23,"Atlanta-Sandy Springs-Roswell, GA",2017-02-01,,56.0,Atlanta GA
24,"Baltimore-Columbia-Towson, MD",2017-02-01,,56.0,Baltimore MD
25,"Boston-Cambridge-Newton, MA-NH",2017-02-01,,56.0,Boston MA-Manchester NH
26,"Chicago-Naperville-Elgin, IL-IN-WI",2017-02-01,,56.0,Chicago IL
27,"Dallas-Fort Worth-Arlington, TX",2017-02-01,,56.0,Dallas-Ft. Worth TX
28,"Denver-Aurora-Lakewood, CO",2017-02-01,,56.0,Denver CO
29,"Detroit-Warren-Dearborn, MI",2017-02-01,,56.0,Detroit MI
30,"Houston-The Woodlands-Sugar Land, TX",2017-02-01,,56.0,Houston TX
31,"Los Angeles-Long Beach-Anaheim, CA",2017-02-01,,56.0,Los Angeles CA
32,"Miami-Fort Lauderdale-West Palm Beach, FL",2017-02-01,,56.0,Miami-Ft. Lauderdale FL
33,"Minneapolis-St.Paul-Bloomington, MN-WI",2017-02-01,,56.0,Minneapolis-St. Paul MN
34,"New York-Newark-Jersey City, NY-NJ-PA",2017-02-01,,56.0,New York NY
35,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2017-02-01,,56.0,Philadelphia PA
36,"Phoenix-Mesa-Scottsdale, AZ",2017-02-01,,56.0,Phoenix AZ
37,"Riverside-San Bernardino-Ontario, CA",2017-02-01,,56.0,
38,"San Diego-Carlsbad, CA",2017-02-01,,56.0,San Diego CA
39,"San Francisco-Oakland-Hayward, CA",2017-02-01,,56.0,San Francisco-Oakland-San Jose CA
40,Seattle-Tacoma-Bellevue WA,2017-02-01,,56.0,Seattle-Tacoma WA
41,"St. Louis, MO-IL",2017-02-01,,56.0,St. Louis MO
42,"Tampa-St. Petersburg-Clearwater, FL",2017-02-01,,56.0,Tampa-St. Petersburg (Sarasota) FL
43,Urban Alaska,2017-02-01,,56.0,Anchorage AK
44,Urban Hawaii,2017-02-01,,56.0,Honolulu HI
45,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2017-02-01,,56.0,Washington DC (Hagerstown MD)
46,"Atlanta-Sandy Springs-Roswell, GA",2017-03-01,,56.0,Atlanta GA
47,"Baltimore-Columbia-Towson, MD",2017-03-01,,56.0,Baltimore MD
48,"Boston-Cambridge-Newton, MA-NH",2017-03-01,,56.0,Boston MA-Manchester NH
49,"Chicago-Naperville-Elgin, IL-IN-WI",2017-03-01,,56.0,Chicago IL
50,"Dallas-Fort Worth-Arlington, TX",2017-03-01,,56.0,Dallas-Ft. Worth TX
51,"Denver-Aurora-Lakewood, CO",2017-03-01,,56.0,Denver CO
52,"Detroit-Warren-Dearborn, MI",2017-03-01,,56.0,Detroit MI
53,"Houston-The Woodlands-Sugar Land, TX",2017-03-01,,56.0,Houston TX
54,"Los Angeles-Long Beach-Anaheim, CA",2017-03-01,,56.0,Los Angeles CA
55,"Miami-Fort Lauderdale-West Palm Beach, FL",2017-03-01,,56.0,Miami-Ft. Lauderdale FL
56,"Minneapolis-St.Paul-Bloomington, MN-WI",2017-03-01,,56.0,Minneapolis-St. Paul MN
57,"New York-Newark-Jersey City, NY-NJ-PA",2017-03-01,,56.0,New York NY
58,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2017-03-01,,56.0,Philadelphia PA
59,"Phoenix-Mesa-Scottsdale, AZ",2017-03-01,,56.0,Phoenix AZ
60,"Riverside-San Bernardino-Ontario, CA",2017-03-01,,56.0,
61,"San Diego-Carlsbad, CA",2017-03-01,,56.0,San Diego CA
62,"San Francisco-Oakland-Hayward, CA",2017-03-01,,56.0,San Francisco-Oakland-San Jose CA
63,Seattle-Tacoma-Bellevue WA,2017-03-01,,56.0,Seattle-Tacoma WA
64,"St. Louis, MO-IL",2017-03-01,,56.0,St. Louis MO
65,"Tampa-St. Petersburg-Clearwater, FL",2017-03-01,,56.0,Tampa-St. Petersburg (Sarasota) FL
66,Urban Alaska,2017-03-01,,56.0,Anchorage AK
67,Urban Hawaii,2017-03-01,,56.0,Honolulu HI
68,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2017-03-01,,56.0,Washington DC (Hagerstown MD)
69,"Atlanta-Sandy Springs-Roswell, GA",2017-04-01,,56.0,Atlanta GA
70,"Baltimore-Columbia-Towson, MD",2017-04-01,,56.0,Baltimore MD
71,"Boston-Cambridge-Newton, MA-NH",2017-04-01,,56.0,Boston MA-Manchester NH
72,"Chicago-Naperville-Elgin, IL-IN-WI",2017-04-01,,56.0,Chicago IL
73,"Dallas-Fort Worth-Arlington, TX",2017-04-01,,56.0,Dallas-Ft. Worth TX
74,"Denver-Aurora-Lakewood, CO",2017-04-01,,56.0,Denver CO
75,"Detroit-Warren-Dearborn, MI",2017-04-01,,56.0,Detroit MI
76,"Houston-The Woodlands-Sugar Land, TX",2017-04-01,,56.0,Houston TX
77,"Los Angeles-Long Beach-Anaheim, CA",2017-04-01,,56.0,Los Angeles CA
78,"Miami-Fort Lauderdale-West Palm Beach, FL",2017-04-01,,56.0,Miami-Ft. Lauderdale FL
79,"Minneapolis-St.Paul-Bloomington, MN-WI",2017-04-01,,56.0,Minneapolis-St. Paul MN
80,"New York-Newark-Jersey City, NY-NJ-PA",2017-04-01,,56.0,New York NY
81,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2017-04-01,,56.0,Philadelphia PA
82,"Phoenix-Mesa-Scottsdale, AZ",2017-04-01,,56.0,Phoenix AZ
83,"Riverside-San Bernardino-Ontario, CA",2017-04-01,,56.0,
84,"San Diego-Carlsbad, CA",2017-04-01,,56.0,San Diego CA
