,ID,lat,lon,FIPS
0,US009052008,43.7333,-96.6333,46099
1,US10RMHS145,40.5268,-105.1113,08069
2,US10adam001,40.568,-98.5069,31001
3,US10adam002,40.5093,-98.5493,31001
4,US10adam003,40.4663,-98.6537,31001
5,US10adam004,40.4798,-98.4026,31001
6,US10adam006,40.4372,-98.5912,31001
7,US10adam007,40.5389,-98.4713,31001
8,US10adam008,40.4953,-98.2973,31001
9,US10adam010,40.5532,-98.6297,31001
10,US10adam011,40.4078,-98.6161,31001
11,US10adam012,40.62,-98.39,31001
12,US10adam013,40.66,-98.42,31001
13,US10adam015,40.6258,-98.7034,31001
14,US10adam016,40.64,-98.3949,31001
15,US10adam017,40.6567,-98.4789,31001
16,US10adam019,40.6114,-98.5543,31001
17,US10adam022,40.5936,-98.4299,31001
18,US10adam023,40.5981,-98.4732,31001
19,US10adam024,40.3901,-98.2715,31035
20,US10adam025,40.6004,-98.3986,31001
21,US10adam027,40.5998,-98.4723,31001
22,US10adam028,40.4653,-98.6517,31001
23,US10adam029,40.5536,-98.3166,31001
24,US10adam032,40.3571,-98.4208,31001
25,US10adam033,40.4127,-98.3538,31001
26,US10adam034,40.6129,-98.6482,31001
27,US10adam035,40.607,-98.4588,31001
28,US10adam036,40.5609,-98.402,31001
29,US10adam039,40.602,-98.4048,31001
30,US10adam041,40.434,-98.4389,31001
31,US10adam043,40.5917,-98.5092,31001
32,US10adam045,40.6121,-98.3888,31001
33,US10adam046,40.5443,-98.4208,31001
34,US10adam047,40.5917,-98.4287,31001
35,US10adam051,40.4166,-98.5341,31001
36,US10adam055,40.4396,-98.3449,31001
37,US10adam056,40.58,-98.3717,31001
38,US10adam057,40.6607,-98.5535,31001
39,US10ante003,42.3374,-98.2405,31003
40,US10arth002,41.3955,-101.4074,31005
41,US10bann001,41.6581,-103.6151,31007
42,US10bann005,41.6415,-103.9481,31007
43,US10bann006,41.5589,-103.7407,31007
44,US10bann007,41.5037,-103.7634,31007
45,US10bann008,41.6363,-103.6842,31007
46,US10bann009,41.6804,-103.6852,31007
47,US10blai001,41.9138,-99.9644,31009
48,US10blai003,41.7609,-100.2353,31009
49,US10blai004,41.9043,-100.2657,31009
50,US10blai005,42.0189,-100.1227,31009
51,US10blai006,42.0715,-100.0649,31009
52,US10blai008,41.803,-100.2225,31009
53,US10blai010,41.9224,-99.7449,31009
54,US10blai011,41.8838,-100.174,31009
55,US10blai012,41.8194,-100.1071,31009
56,US10blai013,41.7495,-99.7601,31009
57,US10boon002,41.5249,-97.9933,31011
58,US10boon003,41.7571,-98.2343,31011
59,US10boon004,41.684,-97.9872,31011
60,US10boon005,41.6402,-97.9951,31011
61,US10boon006,41.502,-98.158,31011
62,US10boon007,41.8655,-98.2295,31011
63,US10boon008,41.6273,-98.2379,31011
64,US10boon009,41.6685,-97.8945,31011
65,US10boon010,41.6689,-98.1166,31011
66,US10boon011,41.8518,-98.0448,31011
67,US10box_001,42.1911,-102.9518,31013
68,US10box_003,42.017,-102.9953,31013
69,US10box_004,42.1486,-102.749,31013
70,US10box_005,42.3195,-103.0705,31013
71,US10box_006,42.3653,-102.9952,31013
72,US10box_007,42.1675,-102.8005,31013
73,US10box_008,42.2712,-103.141,31013
74,US10box_009,42.3968,-102.8848,31013
75,US10box_010,42.116,-103.4295,31013
76,US10box_013,42.1138,-102.8901,31013
77,US10box_014,42.2981,-102.8596,31013
78,US10box_020,42.3167,-103.0787,31013
79,US10box_023,42.4093,-102.7894,31013
80,US10box_024,42.3263,-102.9934,31013
81,US10box_030,42.2357,-103.3072,31013
82,US10boyd002,42.9095,-98.8492,31015
83,US10boyd003,42.9141,-98.6603,31015
84,US10boyd005,42.9096,-98.8428,31015
85,US10brow001,42.5359,-99.7092,31017
86,US10brow003,42.636,-100.015,31017
87,US10brow004,42.5375,-100.1208,31017
88,US10brow005,42.6748,-99.7695,31017
89,US10brow006,42.5718,-100.0545,31017
90,US10brow007,42.6988,-100.0668,31017
91,US10brow008,42.3248,-100.061,31017
92,US10brow009,42.3171,-100.0112,31017
93,US10buff001,40.7826,-99.1023,31019
94,US10buff002,40.7062,-99.1142,31019
95,US10buff003,40.9445,-98.8465,31019
96,US10buff004,40.6908,-99.094,31019
97,US10buff005,40.8588,-98.9216,31019
98,US10buff006,40.9223,-99.3868,31019
99,US10buff007,40.9903,-98.8699,31019
100,US10buff008,40.9593,-98.9631,31019
101,US10buff010,40.9789,-99.0637,31019
102,US10buff011,40.7725,-98.7306,31019
103,US10buff012,40.7494,-98.8479,31019
104,US10buff013,40.6995,-99.4062,31019
105,US10buff015,40.8477,-99.3277,31019
106,US10buff017,40.7236,-99.1035,31019
107,US10buff018,40.665,-99.0852,31019
108,US10buff019,40.9728,-98.8024,31019
109,US10buff020,40.7407,-99.0647,31019
110,US10buff025,40.7412,-99.1602,31019
111,US10buff034,40.8144,-98.8403,31019
112,US10buff036,40.7853,-99.1653,31019
113,US10buff039,40.8153,-98.8355,31019
114,US10burt001,41.7267,-96.1557,31021
115,US10burt002,41.6965,-96.3619,31021
116,US10burt003,41.8593,-96.4701,31021
117,US10burt004,41.7859,-96.4065,31021
118,US10butl003,41.1229,-97.367,31023
119,US10butl004,41.219,-97.349,31023
120,US10butl005,41.185,-97.2542,31023
121,US10butl008,41.158,-96.9952,31023
122,US10butl010,41.2963,-97.3493,31023
123,US10butl011,41.3221,-97.3465,31023
124,US10butl013,41.3565,-97.2356,31023
125,US10butl015,41.0706,-97.3672,31023
126,US10butl020,41.2557,-97.1301,31023
