,index,Region,Car CPI
0,1/1/2017,"Atlanta-Sandy Springs-Roswell, GA",107.991
1,2/1/2017,"Atlanta-Sandy Springs-Roswell, GA",107.991
2,3/1/2017,"Atlanta-Sandy Springs-Roswell, GA",107.991
3,4/1/2017,"Atlanta-Sandy Springs-Roswell, GA",107.991
4,5/1/2017,"Atlanta-Sandy Springs-Roswell, GA",107.991
5,6/1/2017,"Atlanta-Sandy Springs-Roswell, GA",107.991
6,7/1/2017,"Atlanta-Sandy Springs-Roswell, GA",107.991
7,8/1/2017,"Atlanta-Sandy Springs-Roswell, GA",107.991
8,9/1/2017,"Atlanta-Sandy Springs-Roswell, GA",107.991
9,10/1/2017,"Atlanta-Sandy Springs-Roswell, GA",107.991
10,11/1/2017,"Atlanta-Sandy Springs-Roswell, GA",107.991
11,12/1/2017,"Atlanta-Sandy Springs-Roswell, GA",107.991
12,1/1/2018,"Atlanta-Sandy Springs-Roswell, GA",107.991
13,2/1/2018,"Atlanta-Sandy Springs-Roswell, GA",104.668
14,3/1/2018,"Atlanta-Sandy Springs-Roswell, GA",104.668
15,4/1/2018,"Atlanta-Sandy Springs-Roswell, GA",101.823
16,5/1/2018,"Atlanta-Sandy Springs-Roswell, GA",101.823
17,6/1/2018,"Atlanta-Sandy Springs-Roswell, GA",102.034
18,7/1/2018,"Atlanta-Sandy Springs-Roswell, GA",102.034
19,8/1/2018,"Atlanta-Sandy Springs-Roswell, GA",106.137
20,9/1/2018,"Atlanta-Sandy Springs-Roswell, GA",106.137
21,10/1/2018,"Atlanta-Sandy Springs-Roswell, GA",101.623
22,11/1/2018,"Atlanta-Sandy Springs-Roswell, GA",101.623
23,12/1/2018,"Atlanta-Sandy Springs-Roswell, GA",105.042
24,1/1/2019,"Atlanta-Sandy Springs-Roswell, GA",105.042
25,2/1/2019,"Atlanta-Sandy Springs-Roswell, GA",102.452
26,3/1/2019,"Atlanta-Sandy Springs-Roswell, GA",102.452
27,4/1/2019,"Atlanta-Sandy Springs-Roswell, GA",102.954
28,5/1/2019,"Atlanta-Sandy Springs-Roswell, GA",102.954
29,6/1/2019,"Atlanta-Sandy Springs-Roswell, GA",101.086
30,7/1/2019,"Atlanta-Sandy Springs-Roswell, GA",101.086
31,8/1/2019,"Atlanta-Sandy Springs-Roswell, GA",101.84
32,9/1/2019,"Atlanta-Sandy Springs-Roswell, GA",101.84
33,10/1/2019,"Atlanta-Sandy Springs-Roswell, GA",100.254
34,11/1/2019,"Atlanta-Sandy Springs-Roswell, GA",100.254
35,12/1/2019,"Atlanta-Sandy Springs-Roswell, GA",99.276
36,1/1/2020,"Atlanta-Sandy Springs-Roswell, GA",99.276
37,2/1/2020,"Atlanta-Sandy Springs-Roswell, GA",100.825
38,3/1/2020,"Atlanta-Sandy Springs-Roswell, GA",100.825
39,4/1/2020,"Atlanta-Sandy Springs-Roswell, GA",99.608
40,5/1/2020,"Atlanta-Sandy Springs-Roswell, GA",99.608
41,6/1/2020,"Atlanta-Sandy Springs-Roswell, GA",101.679
42,7/1/2020,"Atlanta-Sandy Springs-Roswell, GA",101.679
43,8/1/2020,"Atlanta-Sandy Springs-Roswell, GA",106.158
44,9/1/2020,"Atlanta-Sandy Springs-Roswell, GA",106.158
45,10/1/2020,"Atlanta-Sandy Springs-Roswell, GA",108.241
46,11/1/2020,"Atlanta-Sandy Springs-Roswell, GA",108.241
47,12/1/2020,"Atlanta-Sandy Springs-Roswell, GA",107.057
48,1/1/2021,"Atlanta-Sandy Springs-Roswell, GA",107.057
49,2/1/2021,"Atlanta-Sandy Springs-Roswell, GA",106.392
50,3/1/2021,"Atlanta-Sandy Springs-Roswell, GA",106.392
51,4/1/2021,"Atlanta-Sandy Springs-Roswell, GA",106.392
52,5/1/2021,"Atlanta-Sandy Springs-Roswell, GA",106.392
53,6/1/2021,"Atlanta-Sandy Springs-Roswell, GA",125.026
54,7/1/2021,"Atlanta-Sandy Springs-Roswell, GA",125.026
55,8/1/2021,"Atlanta-Sandy Springs-Roswell, GA",126
56,9/1/2021,"Atlanta-Sandy Springs-Roswell, GA",126
57,10/1/2021,"Atlanta-Sandy Springs-Roswell, GA",126
58,11/1/2021,"Atlanta-Sandy Springs-Roswell, GA",126
59,12/1/2021,"Atlanta-Sandy Springs-Roswell, GA",140.048
60,1/1/2022,"Atlanta-Sandy Springs-Roswell, GA",140.048
61,2/1/2022,"Atlanta-Sandy Springs-Roswell, GA",140.911
62,3/1/2022,"Atlanta-Sandy Springs-Roswell, GA",140.911
63,4/1/2022,"Atlanta-Sandy Springs-Roswell, GA",141.523
64,5/1/2022,"Atlanta-Sandy Springs-Roswell, GA",141.523
